aoa_deg,V_inlet,Re,Ma,Cl,Cd,converged,sin_aoa,cos_aoa,aoa_sq,log_Re,Ma_sq,q_inf,LoD
-5,30,203039.0,0.0882,-0.55364,0.02259,True,-0.08715574274765817,0.9961946980917455,25,5.307579465785148,0.00777924,551.25,-24.508189464364765
0,30,203039.0,0.0882,0.00972,0.01353,True,0.0,1.0,0,5.307579465785148,0.00777924,551.25,0.7184035476718403
5,30,203039.0,0.0882,0.55758,0.02265,True,0.08715574274765817,0.9961946980917455,25,5.307579465785148,0.00777924,551.25,24.617218543046356
10,30,203039.0,0.0882,1.1416,0.05838,True,0.17364817766693033,0.984807753012208,100,5.307579465785148,0.00777924,551.25,19.554642000685163
15,30,203039.0,0.0882,0.26838,0.01506,True,0.25881904510252074,0.9659258262890683,225,5.307579465785148,0.00777924,551.25,17.820717131474105
-5,40,270718.0,0.1176,-0.57352,0.02305,True,-0.08715574274765817,0.9961946980917455,25,5.4325171329067565,0.01382976,980.0000000000001,-24.881561822125814
0,40,270718.0,0.1176,0.00363,0.01009,True,0.0,1.0,0,5.4325171329067565,0.01382976,980.0000000000001,0.3597621407333994
5,40,270718.0,0.1176,0.54069,0.02167,True,0.08715574274765817,0.9961946980917455,25,5.4325171329067565,0.01382976,980.0000000000001,24.95108444854638
10,40,270718.0,0.1176,1.11362,0.05572,True,0.17364817766693033,0.984807753012208,100,5.4325171329067565,0.01382976,980.0000000000001,19.986001435750183
15,40,270718.0,0.1176,0.26449,0.01304,True,0.25881904510252074,0.9659258262890683,225,5.4325171329067565,0.01382976,980.0000000000001,20.2829754601227
-5,50,338398.0,0.1471,-0.54882,0.02232,True,-0.08715574274765817,0.9961946980917455,25,5.529427787607144,0.021638410000000004,1531.25,-24.588709677419356
0,50,338398.0,0.1471,0.00101,0.01058,True,0.0,1.0,0,5.529427787607144,0.021638410000000004,1531.25,0.09546313799621928
5,50,338398.0,0.1471,0.56264,0.02319,True,0.08715574274765817,0.9961946980917455,25,5.529427787607144,0.021638410000000004,1531.25,24.262181974989222
10,50,338398.0,0.1471,1.12001,0.05628,True,0.17364817766693033,0.984807753012208,100,5.529427787607144,0.021638410000000004,1531.25,19.900675195451313
15,50,338398.0,0.1471,0.27119,0.01428,True,0.25881904510252074,0.9659258262890683,225,5.529427787607144,0.021638410000000004,1531.25,18.990896358543417
-5,60,406077.0,0.1765,-0.5833,0.02576,True,-0.08715574274765817,0.9961946980917455,25,5.608608391962438,0.031152249999999996,2205.0,-22.643633540372672
0,60,406077.0,0.1765,-0.0002,0.01094,True,0.0,1.0,0,5.608608391962438,0.031152249999999996,2205.0,-0.018281535648994516
5,60,406077.0,0.1765,0.58662,0.02282,True,0.08715574274765817,0.9961946980917455,25,5.608608391962438,0.031152249999999996,2205.0,25.706397896581947
10,60,406077.0,0.1765,1.14732,0.05611,True,0.17364817766693033,0.984807753012208,100,5.608608391962438,0.031152249999999996,2205.0,20.44769203350561
15,60,406077.0,0.1765,0.26198,0.0146,True,0.25881904510252074,0.9659258262890683,225,5.608608391962438,0.031152249999999996,2205.0,17.943835616438356
